Simulation Time - Reference	
	Elevation (deg) - Reference
	
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.0605
1	-27.0605
1	-27.0605
1	-27.0605
1	-27.0605
1	-27.0605
1	-27.0605
1	-27.0605
1	-26.9727
1	-26.9727
1	-26.9727
1	-26.9727
1	-26.9727
1	-26.9727
1	-26.9727
1	-26.8848
1	-26.8848
1	-26.8848
1	-26.8848
1	-26.8848
1	-26.8848
1	-26.8848
1	-26.8848
2	-26.8848
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.709
2	-26.709
2	-26.709
2	-26.709
2	-26.709
2	-26.709
2	-26.709
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.7422
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.6543
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.5664
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
2	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.4785
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.5664
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.6543
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.7422
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.8301
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-25.918
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0059
3	-26.0937
3	-26.0937
3	-26.0937
3	-26.0937
3	-26.0937
3	-26.0937
3	-26.0937
3	-26.0937
3	-26.0937
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.709
