Simulation Time - Reference	
	Elevation (deg) - Reference
	
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5879
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.6758
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5879
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.5
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.0605
1	-27.0605
1	-27.0605
2	-27.0605
2	-27.0605
2	-26.9727
2	-26.9727
2	-26.9727
2	-26.9727
2	-26.9727
2	-26.8848
2	-26.8848
2	-26.8848
2	-26.8848
2	-26.8848
2	-26.8848
2	-26.8848
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.7969
2	-26.709
2	-26.709
2	-26.709
2	-26.709
2	-26.709
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.6211
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.5332
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.4453
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.3574
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.2695
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.8301
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-25.918
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0059
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.0937
2	-26.1816
2	-26.1816
2	-26.1816
2	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.1816
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.2695
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.3574
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.4453
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.5332
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.6211
3	-26.709
3	-26.709
3	-26.709
3	-26.709
3	-26.709
3	-26.709
3	-26.709
3	-26.7969
3	-26.7969
3	-26.7969
3	-26.7969
3	-26.7969
3	-26.7969
3	-26.8848
3	-26.8848
3	-26.8848
3	-26.8848
3	-26.8848
3	-26.9727
3	-26.9727
3	-26.9727
3	-26.9727
3	-26.9727
3	-27.0605
3	-27.0605
3	-27.0605
3	-27.0605
3	-27.0605
3	-27.1484
3	-27.1484
3	-27.1484
3	-27.1484
3	-27.1484
3	-27.2363
3	-27.2363
3	-27.2363
3	-27.2363
3	-27.2363
3	-27.3242
3	-27.3242
3	-27.3242
3	-27.3242
3	-27.3242
3	-27.4121
3	-27.4121
3	-27.4121
3	-27.4121
3	-27.5
3	-27.5
3	-27.5
3	-27.5
3	-27.5
3	-27.5879
3	-27.5879
3	-27.5879
3	-27.5879
3	-27.5879
3	-27.6758
3	-27.6758
3	-27.6758
3	-27.6758
3	-27.7637
3	-27.7637
3	-27.7637
3	-27.7637
3	-27.8516
3	-27.8516
3	-27.8516
3	-27.8516
3	-27.8516
3	-27.9395
3	-27.9395
3	-27.9395
3	-27.9395
3	-28.0273
3	-28.0273
3	-28.0273
3	-28.0273
3	-28.1152
3	-28.1152
3	-28.1152
3	-28.1152
3	-28.2031
3	-28.2031
3	-28.2031
3	-28.2031
3	-28.291
3	-28.291
3	-28.291
3	-28.291
3	-28.3789
3	-28.3789
3	-28.3789
3	-28.3789
3	-28.4668
3	-28.4668
3	-28.4668
3	-28.4668
3	-28.5547
3	-28.5547
3	-28.5547
3	-28.5547
3	-28.6426
3	-28.6426
3	-28.6426
3	-28.6426
3	-28.7305
3	-28.7305
3	-28.7305
3	-28.8184
3	-28.8184
3	-28.8184
3	-28.8184
3	-28.9062
3	-28.9062
3	-28.9062
3	-28.9062
3	-28.9941
3	-28.9941
3	-28.9941
3	-28.9941
3	-29.082
3	-29.082
3	-29.082
3	-29.082
3	-29.1699
3	-29.1699
3	-29.1699
3	-29.2578
3	-29.2578
3	-29.2578
3	-29.2578
3	-29.3457
3	-29.3457
3	-29.3457
3	-29.3457
3	-29.4336
3	-29.4336
3	-29.4336
3	-29.5215
3	-29.5215
3	-29.5215
3	-29.5215
3	-29.6094
3	-29.6094
3	-29.6094
3	-29.6094
3	-29.6973
3	-29.6973
