Simulation Time - Reference	
	Elevation (deg) - Reference
	
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.5
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
0	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.4121
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.3242
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.2363
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.1484
1	-27.0605
1	-27.0605
1	-27.0605
1	-27.0605
1	-26.9727
1	-26.9727
1	-26.9727
1	-26.9727
1	-26.8848
1	-26.8848
1	-26.8848
1	-26.8848
1	-26.7969
1	-26.7969
1	-26.7969
1	-26.7969
1	-26.709
1	-26.709
1	-26.6211
1	-26.6211
1	-26.6211
1	-26.5332
1	-26.5332
1	-26.5332
1	-26.4453
1	-26.4453
1	-26.3574
1	-26.3574
1	-26.3574
1	-26.2695
1	-26.2695
1	-26.1816
1	-26.1816
1	-26.0937
1	-26.0937
1	-26.0937
1	-26.0059
1	-26.0059
1	-25.918
1	-25.8301
1	-25.8301
2	-25.8301
2	-25.7422
2	-25.6543
2	-25.6543
2	-25.5664
2	-25.5664
2	-25.4785
2	-25.3906
2	-25.3906
2	-25.3027
2	-25.3027
2	-25.2148
2	-25.127
2	-25.127
2	-25.0391
2	-24.9512
2	-24.9512
2	-24.8633
2	-24.7754
2	-24.7754
2	-24.6875
2	-24.5996
2	-24.5996
2	-24.5117
2	-24.4238
2	-24.3359
2	-24.3359
2	-24.248
2	-24.1602
2	-24.0723
2	-24.0723
2	-23.9844
2	-23.8965
2	-23.8086
2	-23.8086
2	-23.7207
2	-23.6328
2	-23.5449
2	-23.457
2	-23.457
2	-23.3691
2	-23.2812
2	-23.1934
2	-23.1055
2	-23.0176
2	-22.9297
2	-22.9297
2	-22.8418
2	-22.7539
2	-22.666
2	-22.5781
2	-22.4902
2	-22.4023
2	-22.3145
2	-22.2266
2	-22.1387
2	-22.0508
2	-21.9629
2	-21.875
2	-21.7871
2	-21.6992
2	-21.6113
2	-21.5234
2	-21.4355
2	-21.3477
2	-21.2598
2	-21.1719
2	-21.084
2	-20.9961
2	-20.9082
2	-20.8203
2	-20.7324
2	-20.6445
2	-20.5566
2	-20.4687
2	-20.3809
2	-20.293
2	-20.2051
2	-20.1172
2	-19.9414
2	-19.8535
2	-19.7656
2	-19.6777
2	-19.5898
2	-19.502
2	-19.4141
2	-19.3262
2	-19.2383
2	-19.1504
2	-18.9746
2	-18.8867
2	-18.7988
2	-18.7109
2	-18.623
2	-18.5352
2	-18.4473
2	-18.2715
2	-18.1836
2	-18.0957
2	-18.0078
2	-17.9199
2	-17.7441
2	-17.6563
2	-17.5684
2	-17.4805
2	-17.3926
2	-17.2168
2	-17.1289
2	-17.041
2	-16.9531
2	-16.7773
2	-16.6895
2	-16.6016
2	-16.4258
2	-16.3379
2	-16.25
2	-16.1621
2	-15.9863
2	-15.8984
2	-15.8105
2	-15.6348
2	-15.5469
2	-15.459
2	-15.3711
2	-15.1953
2	-15.1074
2	-15.0195
2	-14.8437
2	-14.7559
2	-14.668
2	-14.4922
2	-14.4043
2	-14.3164
2	-14.1406
2	-14.0527
2	-13.9648
2	-13.7891
2	-13.7012
2	-13.6133
2	-13.4375
2	-13.3496
2	-13.2617
2	-13.0859
2	-12.998
2	-12.9102
2	-12.7344
2	-12.6465
2	-12.4707
2	-12.3828
2	-12.2949
2	-12.1191
2	-12.0313
2	-11.9434
2	-11.7676
2	-11.6797
2	-11.5039
2	-11.416
2	-11.3281
2	-11.1523
2	-11.0645
2	-10.8887
2	-10.8008
2	-10.7129
2	-10.5371
2	-10.4492
2	-10.2734
2	-10.1855
2	-10.0977
2	-9.92188
2	-9.83398
2	-9.6582
2	-9.57031
2	-9.39453
2	-9.30664
2	-9.21875
2	-9.04297
2	-8.95508
2	-8.7793
2	-8.69141
2	-8.51563
2	-8.42773
2	-8.25195
2	-8.16406
2	-7.98828
2	-7.90039
2	-7.8125
2	-7.63672
2	-7.54883
2	-7.37305
2	-7.28516
2	-7.19727
2	-7.02148
2	-6.93359
2	-6.75781
2	-6.66992
2	-6.49414
2	-6.40625
2	-6.23047
2	-6.14258
2	-6.05469
2	-5.87891
3	-5.79102
3	-5.61523
3	-5.52734
3	-5.35156
3	-5.26367
3	-5.08789
3	-5
3	-4.91211
3	-4.73633
3	-4.64844
3	-4.47266
3	-4.38477
3	-4.29688
3	-4.12109
3	-4.0332
3	-3.85742
3	-3.76953
3	-3.59375
3	-3.50586
3	-3.33008
3	-3.24219
3	-3.06641
3	-2.97852
3	-2.89063
3	-2.71484
3	-2.62695
3	-2.45117
3	-2.36328
3	-2.27539
3	-2.09961
3	-2.01172
3	-1.83594
3	-1.74805
3	-1.57227
3	-1.48438
3	-1.39648
3	-1.2207
3	-1.13281
3	-0.957031
3	-0.869141
3	-0.78125
3	-0.605469
3	-0.517578
3	-0.341797
3	-0.253906
3	-0.166016
3	0.00976562
3	0.0976562
3	0.273438
3	0.361328
3	0.449219
3	0.625
3	0.712891
3	0.800781
3	0.976562
3	1.06445
3	1.24023
3	1.32812
3	1.41602
3	1.5918
3	1.67969
3	1.76758
3	1.94336
3	2.03125
3	2.11914
3	2.29492
3	2.38281
3	2.4707
3	2.64648
3	2.73437
3	2.82227
3	2.99805
3	3.08594
3	3.17383
3	3.34961
3	3.4375
3	3.52539
3	3.70117
3	3.78906
3	3.87695
3	4.05273
3	4.14063
3	4.22852
3	4.31641
3	4.49219
3	4.58008
3	4.66797
3	4.84375
3	4.93164
3	5.01953
3	5.10742
3	5.19531
3	5.37109
3	5.45898
3	5.54688
3	5.72266
3	5.81055
3	5.89844
3	5.98633
3	6.07422
3	6.25
3	6.33789
3	6.42578
3	6.51367
3	6.60156
3	6.77734
3	6.86523
3	6.95312
3	7.04102
3	7.12891
3	7.2168
3	7.39258
3	7.48047
3	7.56836
3	7.65625
3	7.74414
3	7.83203
3	7.91992
3	8.0957
3	8.18359
3	8.27148
3	8.35937
3	8.44727
3	8.53516
3	8.62305
3	8.71094
3	8.79883
3	8.88672
3	8.97461
3	9.0625
3	9.23828
3	9.32617
3	9.41406
3	9.50195
3	9.58984
3	9.67773
3	9.76563
3	9.85352
3	9.94141
3	10.0293
3	10.1172
3	10.2051
3	10.293
3	10.3809
3	10.4687
3	10.5566
3	10.6445
3	10.7324
3	10.8203
3	10.8203
3	10.9082
3	10.9961
3	11.084
3	11.1719
3	11.2598
3	11.3477
3	11.4355
3	11.5234
3	11.6113
3	11.6113
3	11.6992
3	11.7871
3	11.875
3	11.9629
3	12.0508
3	12.1387
3	12.1387
3	12.2266
3	12.3145
3	12.4023
3	12.4902
3	12.4902
3	12.5781
3	12.666
3	12.7539
3	12.8418
3	12.8418
3	12.9297
3	13.0176
3	13.1055
3	13.1055
3	13.1934
3	13.2813
3	13.2813
3	13.3691
3	13.457
3	13.457
3	13.5449
3	13.6328
